genre,rating,runtime,title,votes,year,ratingRange,runtimeRange
"Short, Drama",,5.0,A Woman of Merit,,2015.0,,<60
Drama,,109.0,Bulbul,,,,60-120
Biography,,,Jiwan Kanda Ki Phool,,2019.0,,
Comedy,,,Jadugar 2,,2019.0,,
Drama,6.9,127.0,Saayad,17.0,2012.0,average,>120mins
Drama,,130.0,Tata Bye Bye,,2015.0,,>120mins
"Documentary, Short",,,Nepal its Business Unusual,,2015.0,,
Documentary,,90.0,Untouchable Love,,2011.0,,60-120
"Horror, Mystery, Thriller",8.2,125.0,Zhigrana,69.0,2015.0,high,>120mins
Crime,,,Raja,,,,
,8.3,,Shankar,6.0,1997.0,high,
"Drama, Romance",,,Fateko Jutta 2,,2018.0,,
Documentary,,84.0,Beauty and Brains,,2010.0,,60-120
Drama,,,Dhanda,,2012.0,,
"Short, Mystery, Romance",,,Maya Ko Sansar,,2017.0,,
"Short, Music",,,16 Barse Yoban Salala Bage Jasto,,2019.0,,
Documentary,,75.0,On the Road with the Red God: Machhendranath,,2006.0,,60-120
Action,8.1,,Challenge,7.0,2011.0,high,
"Drama, Romance",,,Rhythm,,2013.0,,
,8.2,140.0,Daag,5.0,2001.0,high,>120mins
,,,Maan,,2002.0,,
Biography,,,Bses Slwl I: The Musical Journey,,2019.0,,
Drama,,,Mahamaya,,1995.0,,
Drama,,,Akaal,,2014.0,,
"Biography, Drama",,138.0,Rudane,,2018.0,,>120mins
Drama,,110.0,Ainaa Jhyaal Ko Putali,,2018.0,,60-120
Thriller,7.4,,The Winner,7.0,2016.0,high,
"Drama, Fantasy, Mystery",6.8,85.0,Mystic Mountain,6.0,2015.0,average,60-120
Musical,7.4,,Swor-The Melody of Dreams,7.0,2011.0,high,
"Comedy, Drama",,120.0,Mle Kyu,,2019.0,,60-120
"Drama, Family",,,Pardeshi,,2015.0,,
Drama,,,Shree Swosthani,,1994.0,,
"Short, Drama, Music",7.5,4.0,Nostalgia Musical,6.0,2011.0,high,<60
Action,,80.0,Gorkha rakshyak,,2012.0,,60-120
Comedy,,122.0,Iku the Jungle Man,,2008.0,,>120mins
Drama,,,Khaag,,2019.0,,
,,,Buhari,,2001.0,,
Drama,,,Hello Jindagi,,,,
"Action, Drama, Romance",,,Happy Days,,2018.0,,
Comedy,,,Chauka Dau,,2019.0,,
"Drama, Family",7.6,109.0,In Search of a Nation,12.0,2015.0,high,60-120
Drama,7.2,100.0,Badhshala,22.0,2013.0,high,60-120
"Biography, Romance",,120.0,Dipendra Sarkar,,,,60-120
"Adventure, Drama",7.6,,Aadha Love,5.0,2017.0,high,
"Documentary, Adventure, Sport",6.6,52.0,Langtang,5.0,2015.0,average,<60
Romance,,,Chhodi Gaye Paap Lagla,,2010.0,,
"Documentary, Short",,,Wasfia,,2016.0,,
"Short, Thriller",,,Counterpart,,2017.0,,
Drama,,160.0,Khai O Mheetheba,,2017.0,,>120mins
Drama,,,Cops,,2019.0,,
Documentary,5.6,56.0,Journey to Yarsa,5.0,2011.0,average,<60
Drama,,124.0,Rahadani,,2016.0,,>120mins
"Short, Music",,5.0,Deepak Bajracharya: Man Magan,,2018.0,,<60
"Short, Drama, Romance",,28.0,Pratibimba,,2013.0,,<60
"Short, Drama",6.7,15.0,Bansulli,11.0,2012.0,average,<60
Drama,,,Lamphoo,,2018.0,,
,8.6,,Jeevan Saathi,5.0,2001.0,high,
Family,,,Kahi Katai,,2018.0,,
Romance,,,Madhu Malati,,2017.0,,
Drama,,,Tulashi,,2019.0,,
"Drama, Romance",7.8,132.0,Aavash,8.0,2015.0,high,>120mins
Thriller,,121.0,Superhit,,2016.0,,>120mins
,,,Manai Ta Ho,,2001.0,,
Drama,,,Santan,,1989.0,,
"Reality-TV, Sport",,15.0,Sushant Pradhan,,2014.0,,<60
"Documentary, Short",7.5,17.0,"Conserving World Heritage Site, Patan Durbar Square",6.0,2005.0,high,<60
Reality-TV,,60.0,Nepal's Mega Cinestar,,2019.0,,<60
Drama,7.3,,Utsav,7.0,2014.0,high,
"Documentary, Biography, Crime",,88.0,Save Gangamaya,,2016.0,,60-120
,6.2,,Aago,8.0,2000.0,average,
"Short, Adventure",,18.0,Supermonk,,2018.0,,<60
Documentary,,,Maynati: Poetry Against Modern Day Slavery,,,,
"Short, Drama",,,Take the Lead,,2009.0,,
Documentary,,,Kathabhitra ka Kathaharo,,2009.0,,
